a02-000u-00-00	ok	154	0.517241	0.531250	0.896552	1.000000	AT	అ
a02-000u-00-01	ok	154	0.482143	0.540000	0.964286	0.920000	AT	ఆ
a02-000u-00-02	ok	154	0.518519	0.517857	0.814815	1.035714	AT	ఇ
a02-000u-00-03	ok	154	0.500000	0.603448	0.863636	1.137931	AT	ఇ
a02-000u-00-04	ok	154	0.535714	0.529412	1.023810	0.941176	AT	ఉ
a02-000u-00-05	ok	154	0.500000	0.548780	0.906250	1.097561	AT	ఊ
a02-000u-00-06	ok	154	0.569767	0.500000	1.046512	0.846154	AT	ౠ
a02-000u-00-07	ok	154	0.484848	0.645833	0.848485	1.291667	AT	ౠ
a02-000u-00-08	ok	154	0.571429	0.500000	0.857143	1.000000	AT	ఎ
a02-000u-00-09	ok	154	0.451613	0.606061	0.903226	1.151515	AT	ఏ
a02-000u-00-10	ok	154	0.578125	0.516667	0.843750	1.033333	AT	ఐ
a02-000u-00-11	ok	154	0.592593	0.521739	0.666667	1.043478	AT	ఒ
a02-000u-00-12	ok	154	0.595238	0.547619	0.904762	0.904762	AT	ఓ
a02-000u-00-13	ok	154	0.545455	0.551724	1.030303	1.034483	AT	ఔ
a02-000u-00-14	ok	154	0.537500	0.593750	0.875000	0.937500	AT	అం
a02-000u-00-15	ok	154	0.511111	0.526316	0.711111	0.947368	AT	అః
a02-000u-00-16	ok	154	0.545455	0.633333	0.636364	0.866667	AT	క
a02-000u-00-17	ok	154	0.560000	0.571429	0.960000	1.142857	AT	ఖ
a02-000u-00-18	ok	154	0.608696	0.607143	0.956522	1.214286	AT	గ
a02-000u-00-19	ok	154	0.514706	0.522727	0.911765	0.954545	AT	ఘ
a02-000u-00-20	ok	154	0.480000	0.552632	0.880000	1.105263	AT	ఙ
a02-000u-00-21	ok	154	0.540000	0.562500	1.000000	1.000000	AT	చ
a02-000u-00-22	ok	154	0.551724	0.583333	0.965517	1.166667	AT	ఛ
a02-000u-00-23	ok	154	0.645833	0.575000	1.041667	1.050000	AT	జ
a02-000u-00-24	ok	154	0.567568	0.615385	1.081081	1.230769	AT	ఝ
a02-000u-00-25	ok	154	0.514706	0.480769	0.911765	0.961538	AT	ఞ
a02-000u-00-26	ok	154	0.636364	0.605263	1.000000	1.105263	AT	ట
a02-000u-00-27	ok	154	0.461538	0.500000	0.923077	0.875000	AT	ఠ
a02-000u-00-28	ok	154	0.537037	0.595238	1.000000	1.190476	AT	డ
a02-000u-00-29	ok	154	0.500000	0.543478	0.933333	0.739130	AT	ఢ
a02-000u-00-30	ok	154	0.500000	0.547619	0.823529	1.000000	AT	ణ
a02-000u-00-32	ok	154	0.580645	0.605263	0.903226	1.210526	AT	త
a02-000u-00-33	ok	154	0.500000	0.523810	0.925926	0.857143	AT	థ
a02-000u-00-34	ok	154	0.500000	0.545455	0.925926	1.000000	AT	ద
a02-000u-00-35	ok	154	0.500000	0.452381	1.000000	0.904762	AT	ధ
a02-000u-00-36	ok	154	0.535714	0.545455	1.000000	1.090909	AT	న
a02-000u-00-37	ok	154	0.547619	0.566667	1.000000	1.133333	AT	ప
a02-000u-00-38	ok	154	0.519231	0.625000	0.807692	1.250000	AT	ఫ
a02-000u-00-39	ok	154	0.500000	0.500000	1.000000	0.875000	AT	బ
a02-000u-00-40	ok	154	0.551724	0.523810	1.103448	0.952381	AT	భ
a02-000u-00-41	ok	154	0.562500	0.694444	1.125000	1.388889	AT	మ
a02-000u-00-42	ok	154	0.481481	0.500000	0.740741	1.000000	AT	ళ
a02-000u-00-43	ok	154	0.515625	0.531250	0.906250	0.937500	AT	య
a02-000u-00-44	ok	154	0.543478	0.531250	0.739130	1.062500	AT	స
a02-000u-00-45	ok	154	0.289062	0.750000	0.515625	1.166667	AT	హ
a02-000u-00-46	ok	154	0.500000	0.500000	0.833333	1.000000	AT	ర
a02-000u-00-47	ok	154	0.583333	0.533333	0.833333	0.933333	AT	ల
a02-000u-00-48	ok	154	0.458333	0.638889	0.916667	1.277778	AT	వ
a02-000u-00-49	ok	154	0.500000	0.568182	0.840000	1.136364	AT	శ
a02-000u-00-50	ok	154	0.612903	0.333333	0.000000	0.000000	AT	య
a02-000u-00-51	ok	154	0.535714	0.631579	0.857143	1.157895	AT	ష
a02-000u-00-52	ok	154	0.562500	0.552632	1.125000	1.105263	AT	స
a02-000u-00-53	ok	154	0.294872	0.444444	0.564103	0.814815	AT	హ
a02-000u-00-54	ok	154	0.538462	0.428570	0.000000	0.000000	AT	భ
a02-000u-00-55	ok	154	0.480769	0.537037	0.961538	1.000000	AT	క్ష
a02-000u-00-56	ok	154	0.687500	0.464286	1.125000	0.928571	AT	శ
a02-000u-00-57	ok	154	0.536585	0.607143	0.829268	0.928571	AT	ఱ
